,Unnamed: 0,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre1,genre2,genre3
819,3917,5671,Saki,TV,Manga,25,False,"Apr 6, 2009 to Sep 28, 2009",24 min. per ep.,PG-13 - Teens 13 or older,7.55,27009,1505.0,1256,64971,752,Spring 2009,Mondays at 02:00 (JST),"TV Tokyo, Square Enix, Sotsu, Lantis, Pony Canyon, KlockWorx, TV Tokyo Music, Kiyosumi High School Mahjong Club, Sotsu Music Publishing","Gonzo, Picture Magic",Game, School, Slice of Life
820,3918,30893,Deban Desu Yo! Onigirizu,TV,Original,6,False,"Jun 1, 2015 to Oct 31, 2015",5 min. per ep.,G - All Ages,4.36,36,9962.0,11153,209,0,Summer 2015,Not scheduled once per week,Nikkatsu,Production Reed,Comedy,,
821,3938,4132,Wakakusa no Yon Shimai,TV,Novel,26,False,"Apr 7, 1981 to Sep 29, 1981",23 min. per ep.,G - All Ages,6.6,197,5228.0,9096,644,0,Spring 1981,Unknown,Kokusai Eigasha,Toei Animation,Slice of Life, Historical, Drama
822,3942,36943,Tachibanakan Triangle,TV,Manga,12,True,"Apr 4, 2018 to ?",3 min. per ep.,R+ - Mild Nudity,5.4,3839,8538.0,2310,25815,30,Spring 2018,Wednesdays at 01:00 (JST),Ichijinsha,"Creators in Pack, Studio Lings",Comedy, Ecchi, Shoujo Ai
823,3949,2409,Gokudou-kun Manyuuki,TV,Light novel,26,False,"Apr 2, 1999 to Sep 24, 1999",23 min. per ep.,PG-13 - Teens 13 or older,7.59,4084,1377.0,3717,9764,98,Spring 1999,Fridays at 18:30 (JST),SoftX,Trans Arts,Adventure, Comedy, Fantasy
824,3953,24703,High School DxD BorN,TV,Light novel,12,False,"Apr 4, 2015 to Jun 20, 2015",24 min. per ep.,R+ - Mild Nudity,7.68,191936,1148.0,189,317697,2801,Spring 2015,Saturdays at 23:00 (JST),"Genco, Lantis, Fujimi Shobo",TNK,Action, Comedy, Demons
825,3958,154,Shaman King,TV,Manga,64,False,"Jul 4, 2001 to Sep 25, 2002",23 min. per ep.,PG-13 - Teens 13 or older,7.83,120613,833.0,343,215353,2829,Summer 2001,Wednesdays at 18:30 (JST),"TV Tokyo, Nihon Ad Systems, TV Tokyo Music",Xebec,Action, Adventure, Comedy
826,3972,2501,Papuwa,TV,Manga,26,False,"Sep 30, 2003 to Mar 30, 2004",25 min. per ep.,R+ - Mild Nudity,6.99,310,3610.0,8045,1131,13,Fall 2003,Tuesdays at 18:00 (JST),Sotsu,Nippon Animation,Adventure, Comedy,
827,3976,15225,Hentai Ouji to Warawanai Neko.,TV,Light novel,12,False,"Apr 13, 2013 to Jun 29, 2013",24 min. per ep.,PG-13 - Teens 13 or older,7.39,148188,2068.0,255,268962,1464,Spring 2013,Saturdays at 22:30 (JST),"Frontier Works, Media Factory, Furyu",J.C.Staff,Harem, Comedy, Supernatural
828,3983,35222,Gakuen Babysitters,TV,Manga,12,False,"Jan 7, 2018 to Mar 25, 2018",23 min. per ep.,PG-13 - Teens 13 or older,7.91,20271,675.0,1493,52214,371,Winter 2018,Sundays at 23:00 (JST),"Bandai Visual, Lantis, Nihon Ad Systems, Hakusensha, Banpresto, Marui Group",Brain&#039;s Base,Comedy, School, Shoujo
829,3989,561,Sakura Taisen,TV,Game,25,False,"Apr 8, 2000 to Sep 23, 2000",20 min. per ep.,PG-13 - Teens 13 or older,6.97,4680,3691.0,3276,13234,40,Spring 2000,Saturdays at 17:30 (JST),"TBS, Sega",Madhouse,Adventure, Mecha, Sci-Fi
830,3990,36797,gdMen,TV,Original,12,False,"Jan 9, 2018 to Mar 27, 2018",8 min. per ep.,PG - Children,6.08,436,7138.0,7143,1749,4,Winter 2018,Tuesdays at 01:10 (JST),Tokyo MX,Strawberry Meets Pictures,Comedy, Fantasy,
831,3997,31251,Mobile Suit Gundam: Iron-Blooded Orphans,TV,Original,25,False,"Oct 4, 2015 to Mar 27, 2016",24 min. per ep.,R - 17+ (violence & profanity),8.0,48103,557.0,869,100279,1155,Fall 2015,Sundays at 17:00 (JST),"Sotsu, Asatsu DK, Mainichi Broadcasting System",Sunrise,Action, Drama, Mecha
832,4001,21439,Uta no☆Prince-sama♪ Maji Love Revolutions,TV,Visual novel,13,False,"Apr 5, 2015 to Jun 28, 2015",24 min. per ep.,PG-13 - Teens 13 or older,7.2,13994,2829.0,1889,36426,222,Spring 2015,Sundays at 01:00 (JST),"Showgate, King Records",A-1 Pictures,Comedy, Harem, Music
833,4008,76,Mahou Shoujo Lyrical Nanoha,TV,Original,13,False,"Oct 3, 2004 to Dec 26, 2004",25 min. per ep.,PG-13 - Teens 13 or older,7.49,31524,1670.0,1127,73400,933,Fall 2004,Unknown,"Starchild Records, Omnibus Japan",Seven Arcs,Action, Comedy, Drama
834,4010,1018,Majutsushi Orphen: Revenge,TV,Unknown,23,False,"Oct 2, 1999 to Mar 26, 2000",24 min. per ep.,PG-13 - Teens 13 or older,6.92,4551,3847.0,3585,10599,22,Fall 1999,Saturdays at 17:00 (JST),"Kadokawa Shoten, TBS",J.C.Staff,Adventure, Comedy, Fantasy
835,4014,9938,Ikoku Meiro no Croisée The Animation,TV,Manga,12,False,"Jul 4, 2011 to Sep 19, 2011",23 min. per ep.,G - All Ages,7.47,18476,1729.0,1659,44459,135,Summer 2011,Mondays at 00:30 (JST),"Media Factory, AT-X, flying DOG, Sony Music Communications, Bushiroad, Good Smile Company, Aoni Entertainment",Satelight,Slice of Life, Historical, Seinen
836,4019,20973,Sekai Seifuku: Bouryaku no Zvezda,TV,Original,12,False,"Jan 12, 2014 to Mar 30, 2014",24 min. per ep.,PG-13 - Teens 13 or older,7.15,37437,3012.0,931,91844,253,Winter 2014,Unknown,"Aniplex, Dentsu, flying DOG, Notes, Atelier Musa, Ichijinsha",A-1 Pictures,Action, Comedy, Fantasy
837,4020,1956,Ikkitousen: Dragon Destiny,TV,Manga,12,False,"Feb 26, 2007 to May 14, 2007",24 min. per ep.,R+ - Mild Nudity,6.91,27522,3875.0,1450,54550,120,Winter 2007,Mondays at 10:30 (JST),"Genco, Atelier Musa, Gigno Systems",Arms,Action, Super Power, Ecchi
838,4021,573,Saber Marionette J,TV,Original,25,False,"Oct 1, 1996 to Mar 25, 1997",25 min. per ep.,PG-13 - Teens 13 or older,7.42,9880,1950.0,2610,20979,149,Fall 1996,Tuesdays at 18:00 (JST),"TV Tokyo, Bandai Visual, Hal Film Maker, Sotsu",Studio Junio,Action, Adventure, Comedy
839,4040,65,Rozen Maiden: Träumend,TV,Manga,12,False,"Oct 21, 2005 to Jan 27, 2006",24 min. per ep.,PG-13 - Teens 13 or older,7.74,47139,1024.0,1028,81387,471,Fall 2005,Fridays at 01:55 (JST),"Mellow Head, TBS",Nomad,Action, Comedy, Drama
840,4050,16123,Saki Zenkoku-hen,TV,Manga,13,False,"Jan 6, 2014 to Apr 7, 2014",24 min. per ep.,PG-13 - Teens 13 or older,7.48,10486,1704.0,2477,22983,101,Winter 2014,Mondays at 01:35 (JST),"TV Tokyo, Square Enix, Lantis, Pony Canyon",Studio Gokumi,Game, School, Slice of Life
841,4057,800,NieA Under 7,TV,Original,13,False,"Apr 26, 2000 to Jul 19, 2000",23 min. per ep.,PG-13 - Teens 13 or older,6.92,6637,3854.0,2597,21127,88,Spring 2000,Wednesdays at 18:30 (JST),"Shaft, Genco, Kadokawa Shoten, SynergySP, Pioneer LDC",Triangle Staff,Comedy, Sci-Fi, Slice of Life
842,4071,22999,Nippon Tanjou,TV,Unknown,5,False,"Jun 10, 1970 to Oct 24, 1970",25 min. per ep.,G - All Ages,5.67,9,11503.0,12603,118,0,Summer 1970,Unknown,Nippon Television Network,Mushi Production,Historical,,
843,4075,21939,Mushishi Zoku Shou,TV,Manga,10,False,"Apr 5, 2014 to Jun 21, 2014",24 min. per ep.,PG-13 - Teens 13 or older,8.77,60600,33.0,569,145925,894,Spring 2014,Saturdays at 00:00 (JST),"Aniplex, Kodansha, Delfi Sound",Artland,Adventure, Slice of Life, Mystery
844,4085,2216,Shigurui,TV,Manga,12,False,"Jul 19, 2007 to Oct 11, 2007",23 min. per ep.,R+ - Mild Nudity,7.5,21579,1647.0,1229,66096,613,Summer 2007,Thursdays at 23:30 (JST),"Geneon Universal Entertainment, WOWOW, Akita Shoten",Madhouse,Action, Historical, Psychological
845,4092,9181,Motto To LOVE-Ru,TV,Manga,12,False,"Oct 6, 2010 to Dec 22, 2010",24 min. per ep.,R+ - Mild Nudity,7.52,106510,1581.0,444,178793,767,Fall 2010,Unknown,"Geneon Universal Entertainment, TBS, Magic Capsule, PRA",Xebec,Sci-Fi, Harem, Comedy
846,4097,23269,Hello!! Kiniro Mosaic,TV,4-koma manga,12,False,"Apr 6, 2015 to Jun 22, 2015",23 min. per ep.,PG-13 - Teens 13 or older,7.6,21390,1348.0,1618,45943,210,Spring 2015,Mondays at 00:00 (JST),"Genco, flying DOG, Showgate",Studio Gokumi,Slice of Life, Comedy, School
847,4107,31374,Shingeki! Kyojin Chuugakkou,TV,Manga,12,False,"Oct 4, 2015 to Dec 20, 2015",17 min. per ep.,PG-13 - Teens 13 or older,7.07,38745,3320.0,1037,80521,381,Fall 2015,Sundays at 01:58 (JST),Pony Canyon Enterprise,Production I.G,Comedy, Parody, School
848,4116,1853,Cutey Honey F,TV,Unknown,39,False,"Feb 15, 1997 to Jan 31, 1998",23 min. per ep.,PG-13 - Teens 13 or older,6.64,1079,5005.0,4868,4999,11,Winter 1997,Saturdays at 19:00 (JST),Dynamic Planning,Toei Animation,Action, Adventure, Comedy
849,4119,34834,Hina Logi: From Luck & Logic,TV,Card game,12,False,"Jul 1, 2017 to Sep 23, 2017",23 min. per ep.,PG-13 - Teens 13 or older,6.75,4525,4529.0,2923,16670,38,Summer 2017,Saturdays at Unknown,"Bandai Visual, Lantis, Nitroplus, Bushiroad, Yuhodo",Doga Kobo,Action, Comedy, Fantasy
850,4131,427,Kaleido Star,TV,Original,51,False,"Apr 3, 2003 to Mar 27, 2004",23 min. per ep.,PG-13 - Teens 13 or older,8.03,22821,517.0,1499,51894,1155,Spring 2003,Saturdays at 09:30 (JST),"TV Tokyo, Hal Film Maker, G&amp;G Entertainment, HoriPro, MediaNet","Gonzo, Production I.G",Comedy, Sports, Drama
851,4134,30279,Yuru Yuri San☆Hai!,TV,Manga,12,False,"Oct 6, 2015 to Dec 22, 2015",23 min. per ep.,PG-13 - Teens 13 or older,8.03,35293,527.0,1231,66090,495,Fall 2015,Tuesdays at 02:05 (JST),"Sotsu, Pony Canyon",TYO Animations,Comedy, School, Shoujo Ai
852,4138,4935,Ikkyuu-san,TV,Unknown,296,False,"Oct 15, 1975 to Jun 28, 1982",24 min. per ep.,G - All Ages,7.06,308,3338.0,8334,966,1,Fall 1975,Unknown,TV Asahi,Toei Animation,Kids, Comedy, Historical
853,4153,568,Bubblegum Crisis Tokyo 2040,TV,Original,26,False,"Oct 8, 1998 to Apr 1, 1999",24 min. per ep.,R - 17+ (violence & profanity),7.17,10231,2913.0,2431,23807,143,Fall 1998,Thursdays at 01:15 (JST),Victor Entertainment,AIC,Adventure, Mecha, Sci-Fi
854,4154,5022,Toushi Gordian,TV,Original,73,False,"Oct 7, 1979 to Feb 22, 1981",25 min. per ep.,G - All Ages,6.55,114,5430.0,9768,437,0,Fall 1979,Unknown,Yomiko Advertising,Tatsunoko Production,Action, Mecha, Sci-Fi
855,4156,36902,Mahou Shoujo Ore,TV,Web manga,12,True,"Apr 2, 2018 to 2018",23 min. per ep.,PG-13 - Teens 13 or older,6.86,5393,4076.0,1777,40127,62,Spring 2018,Mondays at 22:00 (JST),"Genco, Crunchyroll SC Anime Fund",Pierrot Plus,Fantasy, Magic, Comedy
856,4158,16918,Gin no Saji,TV,Manga,11,False,"Jul 12, 2013 to Sep 20, 2013",23 min. per ep.,PG-13 - Teens 13 or older,8.16,76015,358.0,506,158741,1768,Summer 2013,Fridays at 00:45 (JST),"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",A-1 Pictures,Comedy, School, Shounen
857,4171,34712,Kujira no Kora wa Sajou ni Utau,TV,Manga,12,False,"Oct 8, 2017 to Dec 24, 2017",23 min. per ep.,PG-13 - Teens 13 or older,7.34,30114,2242.0,1024,82292,305,Fall 2017,Sundays at 23:00 (JST),"Bandai Visual, Lantis, Magic Capsule, Hakuhodo DY Music &amp; Pictures, Akita Shoten, Sony PCL, Contents Seed",J.C.Staff,Drama, Fantasy, Mystery
858,4178,33473,Tokyo Futago Athletic,TV,Original,12,False,"Dec 30, 2016 to Jan 7, 2017",4 min. per ep.,G - All Ages,7.27,22,12463.0,10898,236,1,Winter 2017,Unknown,"TC Entertainment, CREi",Ripromo,Comedy, Sports,
859,4184,2214,Black Jack 21,TV,Unknown,17,False,"Apr 10, 2006 to Sep 4, 2006",24 min. per ep.,PG-13 - Teens 13 or older,7.7,2930,1098.0,4076,7836,50,Spring 2006,Unknown,"Avex Entertainment, Yomiuri Telecasting",Tezuka Productions,Action, Drama,
860,4185,290,Seikai no Monshou,TV,Light novel,13,False,"Jan 3, 1999 to Mar 28, 1999",26 min. per ep.,PG-13 - Teens 13 or older,7.79,13096,909.0,2031,32132,362,Winter 1999,Unknown,"Bandai Visual, WOWOW, BeSTACK",Sunrise,Action, Military, Sci-Fi
861,4190,35376,Himouto! Umaru-chan R,TV,Manga,12,False,"Oct 8, 2017 to Dec 24, 2017",23 min. per ep.,PG-13 - Teens 13 or older,7.49,34673,1666.0,937,90603,305,Fall 2017,Sundays at 23:30 (JST),"AT-X, Flex Comix, TOHO animation, Good Smile Company, Shueisha, bilibili, BS11, Jinnan Studio, RAY",Doga Kobo,Comedy, School, Seinen
862,4193,33486,Boku no Hero Academia 2nd Season,TV,Manga,25,False,"Apr 1, 2017 to Sep 30, 2017",23 min. per ep.,PG-13 - Teens 13 or older,8.76,350352,35.0,57,583016,11671,Spring 2017,Saturdays at 17:30 (JST),"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Bones,Action, Comedy, Super Power
863,4200,267,Gungrave,TV,Game,26,False,"Oct 7, 2003 to Mar 30, 2004",25 min. per ep.,R - 17+ (violence & profanity),7.94,47158,629.0,726,118226,1945,Fall 2003,Unknown,Tohokushinsha Film Corporation,Madhouse,Action, Drama, Sci-Fi
864,4202,185,Initial D First Stage,TV,Manga,26,False,"Apr 19, 1998 to Dec 6, 1998",25 min. per ep.,PG-13 - Teens 13 or older,8.28,60560,256.0,745,115355,3395,Spring 1998,Tuesdays at 00:00 (JST),"OB Planning, Fuji TV","Studio Gallop, Studio Comet",Action, Cars, Drama
865,4211,1261,Kyattou Ninden Teyandee,TV,Original,54,False,"Feb 1, 1990 to Feb 12, 1991",24 min. per ep.,G - All Ages,7.16,3437,2968.0,3944,8416,48,Winter 1990,Thursdays at 19:00 (JST),"Sotsu, Studio Nue, Dongyang Animation",Tatsunoko Production,Action, Comedy, Mecha
866,4218,8424,MM!,TV,Light novel,12,False,"Oct 2, 2010 to Dec 18, 2010",23 min. per ep.,PG-13 - Teens 13 or older,7.29,87074,2465.0,503,159562,639,Fall 2010,Unknown,"Lantis, Media Factory, AT-X",Xebec,Harem, Comedy, Ecchi
867,4230,1889,Higurashi no Naku Koro ni Kai,TV,Visual novel,24,False,"Jul 6, 2007 to Dec 18, 2007",24 min. per ep.,R - 17+ (violence & profanity),8.35,147214,193.0,251,271169,5221,Summer 2007,Fridays at 02:30 (JST),"Geneon Universal Entertainment, Frontier Works, Sotsu, Movic",Studio Deen,Mystery, Psychological, Supernatural
868,4240,308,Zettai Shounen,TV,Original,26,False,"May 21, 2005 to Nov 19, 2005",25 min. per ep.,PG-13 - Teens 13 or older,7.01,2587,3552.0,3249,13438,50,Spring 2005,Saturdays at 08:06 (JST),"Bandai Visual, Mellow Head, Genco, Ginga Ya, Trilogy Future Studio",Ajia-Do,Fantasy, Drama, Mystery
869,4248,29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,TV,Light novel,12,False,"Jul 4, 2015 to Sep 19, 2015",23 min. per ep.,R+ - Mild Nudity,7.49,167565,1677.0,193,313393,1876,Summer 2015,Saturdays at 23:00 (JST),"Frontier Works, Shogakukan Productions, Genco, Starchild Records, AT-X, KlockWorx",J.C.Staff,Comedy, Ecchi, School
870,4250,89,Mobile Suit Victory Gundam,TV,Original,51,False,"Apr 2, 1993 to Mar 25, 1994",24 min. per ep.,PG-13 - Teens 13 or older,6.89,5752,3957.0,3024,15475,85,Spring 1993,Fridays at 17:00 (JST),"TV Asahi, Sotsu, Apollon","Sunrise, Studio Deen",Military, Sci-Fi, Space
871,4260,971,Astro Boy: Tetsuwan Atom,TV,Manga,50,False,"Apr 6, 2003 to Mar 28, 2004",24 min. per ep.,G - All Ages,7.01,5380,3523.0,3401,12081,52,Spring 2003,Unknown,"Sony Pictures Entertainment, Dentsu",Tezuka Productions,Action, Sci-Fi, Adventure
872,4265,1602,Soukou no Strain,TV,Original,13,False,"Nov 2, 2006 to Feb 15, 2007",24 min. per ep.,R+ - Mild Nudity,7.13,7189,3105.0,2890,16992,72,Fall 2006,Unknown,Happinet Pictures,Studio Fantasia,Drama, Ecchi, Mecha
873,4278,1313,Digimon Adventure 02,TV,Original,50,False,"Apr 2, 2000 to Mar 25, 2001",25 min. per ep.,PG - Children,7.35,95642,2224.0,565,146652,672,Spring 2000,Sundays at 09:00 (JST),"Yomiko Advertising, Fuji TV",Toei Animation,Action, Adventure, Comedy
874,4282,2719,MapleStory,TV,Game,25,False,"Oct 7, 2007 to Mar 30, 2008",25 min. per ep.,PG - Children,5.47,939,8416.0,5509,3677,5,Fall 2007,Unknown,"TV Tokyo, Dentsu, Nexon",Madhouse,Action, Kids, Fantasy
875,4284,3361,UFO Senshi Dai Apolon,TV,Original,26,False,"Apr 6, 1976 to Sep 28, 1976",24 min. per ep.,PG-13 - Teens 13 or older,6.29,135,6456.0,9652,468,3,Spring 1976,Tuesdays at 19:00 (JST),TBS,"Eiken, Studio Live",Action, Sci-Fi, Mecha
876,4285,34542,Inuyashiki,TV,Manga,11,False,"Oct 13, 2017 to Dec 22, 2017",22 min. per ep.,R - 17+ (violence & profanity),7.9,89851,697.0,376,200657,1211,Fall 2017,Fridays at 00:55 (JST),"Aniplex, Dentsu, Kodansha, Fuji TV, DMM pictures",MAPPA,Action, Drama, Psychological
877,4288,35075,Hoozuki no Reitetsu 2nd Season,TV,Manga,13,False,"Oct 8, 2017 to Dec 31, 2017",23 min. per ep.,PG-13 - Teens 13 or older,7.91,6600,678.0,2620,20890,35,Fall 2017,Sundays at 01:00 (JST),"Kodansha, King Records",Studio Deen,Comedy, Demons, Supernatural
878,4292,31646,3-gatsu no Lion,TV,Manga,22,False,"Oct 8, 2016 to Mar 18, 2017",25 min. per ep.,PG-13 - Teens 13 or older,8.43,66567,148.0,391,192932,3918,Fall 2016,Saturdays at 23:00 (JST),"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy&#039;s Factory",Shaft,Game, Slice of Life, Drama
879,4296,658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,Manga,26,False,"Oct 5, 2005 to Mar 29, 2006",23 min. per ep.,R - 17+ (violence & profanity),7.99,27000,574.0,1331,61030,824,Fall 2005,Wednesdays at Unknown,"VAP, Nippon Television Network",Madhouse,Game, Psychological, Thriller
880,4298,35302,Neko Neko Nihonshi 2nd Season,TV,Web manga,32,False,"Apr 5, 2017 to Feb 28, 2018",9 min. per ep.,None,6.0,11,11430.0,11598,172,0,Spring 2017,Wednesdays at 18:45 (JST),"NHK, Neft Film",Joker Films,Historical, Kids, Parody
881,4301,1678,Cyborg 009: The Cyborg Soldier,TV,Manga,52,False,"Oct 14, 2001 to Aug 27, 2003",25 min. per ep.,PG-13 - Teens 13 or older,7.36,7241,2179.0,2744,18852,138,Fall 2001,Unknown,"TV Tokyo, Avex Entertainment",Japan Vistec,Action, Sci-Fi, Adventure
882,4303,31555,Doushitemo Eto ni Hairitai,TV,Web manga,13,False,"Oct 11, 2015 to Jan 10, 2016",6 min. per ep.,G - All Ages,6.66,29,10022.0,11025,222,2,Fall 2015,Sundays at 09:20 (JST),Studio Mausu,Pollyanna Graphics,Comedy,,
883,4306,7175,Himitsukessha Taka no Tsume Countdown,TV,Unknown,12,False,"Oct 7, 2009 to Dec 23, 2009",11 min. per ep.,PG-13 - Teens 13 or older,5.93,44,10448.0,10627,272,0,Fall 2009,Unknown,Kaeruotoko Shokai,DLE,Comedy, Parody, Super Power
884,4307,12321,Thermae Romae,TV,Manga,3,False,"Jan 13, 2012 to Jan 27, 2012",24 min. per ep.,PG-13 - Teens 13 or older,7.1,8412,3217.0,2977,15984,18,Winter 2012,Fridays at 00:45 (JST),"Dentsu, Fuji TV, Toho, Sony Music Entertainment","Gonzo, DLE",Comedy, Historical, Seinen
885,4308,7592,Nurarihyon no Mago,TV,Manga,24,False,"Jul 6, 2010 to Dec 21, 2010",24 min. per ep.,PG-13 - Teens 13 or older,7.75,72136,997.0,497,161192,1088,Summer 2010,Unknown,"Yomiuri Telecasting, Yomiko Advertising, Pony Canyon, Toho, Shueisha, BS11, Hakuhodo DY Media Partners",Studio Deen,Action, Demons, Shounen
886,4316,3226,Major S4,TV,Manga,26,False,"Jan 5, 2008 to Jun 28, 2008",24 min. per ep.,PG-13 - Teens 13 or older,8.32,23579,222.0,1886,36476,151,Winter 2008,Unknown,NHK,SynergySP,Sports, Comedy, Drama
887,4320,1482,D.Gray-man,TV,Manga,103,False,"Oct 3, 2006 to Sep 30, 2008",23 min. per ep.,PG-13 - Teens 13 or older,8.16,171370,355.0,106,423475,12129,Fall 2006,Tuesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Half H.P Studio, Sony Music Entertainment, Studio Jack",TMS Entertainment,Action, Adventure, Comedy
888,4330,872,Mahou Shoujo-tai Arusu,TV,Original,40,False,"Apr 9, 2004 to Mar 4, 2005",9 min. per ep.,PG-13 - Teens 13 or older,7.19,4467,2857.0,2665,20130,68,Spring 2004,Unknown,"Tohokushinsha Film Corporation, Beyond C.",Studio 4°C,Adventure, Comedy, Fantasy
889,4332,4999,Asu no Yoichi!,TV,Manga,12,False,"Jan 9, 2009 to Mar 27, 2009",24 min. per ep.,PG-13 - Teens 13 or older,6.95,77023,3728.0,616,135433,310,Winter 2009,Fridays at 01:29 (JST),"Lantis, TBS, Movic",AIC,Harem, Comedy, Romance
890,4345,412,Kore ga Watashi no Goshujinsama,TV,Manga,12,False,"Apr 7, 2005 to Jun 30, 2005",24 min. per ep.,R+ - Mild Nudity,6.64,31947,5019.0,1298,62471,130,Spring 2005,Unknown,"Geneon Universal Entertainment, TBS, DAX Production, Memory-Tech","Gainax, Shaft",Comedy, Ecchi, Slice of Life
891,4347,3616,Kamen no Maid Guy,TV,Manga,12,False,"Apr 6, 2008 to Jun 22, 2008",25 min. per ep.,R+ - Mild Nudity,7.11,14788,3164.0,2064,31356,68,Spring 2008,Unknown,"Geneon Universal Entertainment, Frontier Works, Rondo Robe, AT-X, KlockWorx, Kinyosha",Madhouse,Action, Comedy, Ecchi
892,4355,35963,PJ Berri no Mogumogu Munyamunya Season 2,TV,Game,6,False,"Aug 3, 2017 to Sep 14, 2017",1 min. per ep.,G - All Ages,5.36,11,11775.0,12079,143,0,Summer 2017,Unknown,Fuji TV,Doga Kobo,Comedy,,
893,4358,1459,Uchuu no Kishi Tekkaman Blade,TV,Original,49,False,"Feb 18, 1992 to Feb 2, 1993",25 min. per ep.,R - 17+ (violence & profanity),7.55,3831,1512.0,3637,10300,131,Winter 1992,Unknown,"Sotsu, Studio Jack",Tatsunoko Production,Action, Adventure, Space
894,4363,3927,Mobile Suit Gundam 00 Second Season,TV,Original,25,False,"Oct 5, 2008 to Mar 29, 2009",24 min. per ep.,R - 17+ (violence & profanity),8.18,65300,336.0,851,102403,1266,Fall 2008,Unknown,Mainichi Broadcasting System,Sunrise,Action, Military, Sci-Fi
895,4371,11499,Sankarea,TV,Manga,12,False,"Apr 6, 2012 to Jun 29, 2012",24 min. per ep.,R+ - Mild Nudity,7.49,165755,1673.0,205,305513,1530,Spring 2012,Unknown,"Lantis, Pony Canyon, TBS, Kodansha, BS-TBS",Studio Deen,Comedy, Horror, Supernatural
896,4376,558,Major S2,TV,Manga,26,False,"Dec 10, 2005 to Jun 10, 2006",25 min. per ep.,PG-13 - Teens 13 or older,8.36,26374,188.0,1778,39997,229,Winter 2006,Unknown,NHK,Studio Hibari,Comedy, Drama, Shounen
897,4380,5355,Sengoku Basara,TV,Game,12,False,"Apr 2, 2009 to Jun 18, 2009",23 min. per ep.,PG-13 - Teens 13 or older,7.51,46764,1618.0,764,113297,1020,Spring 2009,Thursdays at 01:29 (JST),"Dentsu, Shochiku, Mainichi Broadcasting System, Movic, flying DOG",Production I.G,Action, Historical, Martial Arts
898,4381,1532,Suki na Mono wa Suki Dakara Shou ga Nai!!,TV,Visual novel,12,False,"Jan 9, 2005 to Mar 27, 2005",24 min. per ep.,PG-13 - Teens 13 or older,6.89,17632,3966.0,1918,35445,229,Winter 2005,Unknown,"Bandai Visual, Lantis, Movic",Zexcs,Comedy, Drama, Romance
899,4385,105,Boys Be...,TV,Manga,13,False,"Apr 11, 2000 to Jul 4, 2000",23 min. per ep.,PG-13 - Teens 13 or older,6.53,6960,5475.0,2902,16869,38,Spring 2000,Tuesdays at 18:30 (JST),Audio Tanaka,Hal Film Maker,Slice of Life, Comedy, Romance
900,4387,35076,Juuni Taisen,TV,Novel,12,False,"Oct 3, 2017 to Dec 19, 2017",24 min. per ep.,R - 17+ (violence & profanity),6.71,65248,4710.0,571,145539,316,Fall 2017,Tuesdays at 23:30 (JST),"Sotsu, Mainichi Broadcasting System, AT-X, Studio Mausu, Tokyo MX, Avex Pictures, Shueisha, BS11, GYAO!, A-Sketch",Graphinica,Action,,
901,4397,10798,UN-GO,TV,Novel,11,False,"Oct 14, 2011 to Dec 23, 2011",24 min. per ep.,R - 17+ (violence & profanity),7.49,42041,1685.0,843,103054,559,Fall 2011,Fridays at 00:45 (JST),"Dentsu, Fuji TV, Toho, Sony Music Entertainment, Fuji Pacific Music Publishing",Bones,Mystery, Supernatural,
902,4409,620,Mermaid Forest,TV,Unknown,13,False,"Oct 5, 2003 to Dec 21, 2003",24 min. per ep.,R - 17+ (violence & profanity),7.13,6170,3088.0,2854,17427,55,Fall 2003,Unknown,TV Tokyo,TMS Entertainment,Drama, Fantasy, Horror
903,4416,876,Street Fighter II V,TV,Game,29,False,"Apr 10, 1995 to Nov 27, 1995",24 min. per ep.,PG-13 - Teens 13 or older,7.14,9767,3059.0,2904,16852,85,Spring 1995,Mondays at 19:00 (JST),"Group TAC, Studio Take Off","Studio Hibari, Production Reed",Adventure, Drama, Mystery
904,4418,12677,Ozma,TV,Original,6,False,"Mar 17, 2012 to Apr 21, 2012",24 min. per ep.,PG-13 - Teens 13 or older,6.14,5850,6973.0,3355,12516,6,Spring 2012,Unknown,"WOWOW, Pony Canyon, Planet, LandQ studios, Viki, Slowcurve, Cyclone Graphics inc",Gonzo,Action, Sci-Fi, Adventure
905,4427,73,Full Metal Panic! The Second Raid,TV,Light novel,13,False,"Jul 14, 2005 to Oct 20, 2005",24 min. per ep.,R - 17+ (violence & profanity),8.03,109507,514.0,415,184696,1244,Summer 2005,Unknown,"Kadokawa Shoten, Happinet Pictures",Kyoto Animation,Action, Military, Mecha
